Especie	Bloque.A	Arboretum	Jardin.Carbonifero
Turdus ignobilis	8	14	6
Pygochelidon cyanoleuca	17	17	7
Tyrannus melancholicus	6	0	6
Rupornis magnirostris	3	0	0
Thraupis episcopus	11	0	4
Sicalis flaveola	6	6	1
Setophaga fusca 	2	1	0
Setophaga petechia	1	0	0
Thraupis palmarum	8	15	1
Melanerpes formicivorus	12	1	28
Euphonia laniirostris	2	0	0
Troglodytes aedon	3	0	2
Coereba flaveola	2	2	5
Molothrus bonariensis	1	1	0
Sayornis nigricans	2	0	0
Pyrocephalus rubinus	0	3	2
Myiozetetes cayanensis	0	3	0
Tangara cyanicollis	1	6	1
Elaenia flavogaster	0	2	1
Tangara vitriolina	3	2	0
Pitangus sulphuratus	2	6	6
Columbina talpacoti	0	4	5
Amazilia saucerrottei	0	1	1
Zimmerius chrysops	0	1	13
Saltator striatipectus	0	0	2
Forpus conspicillatus	0	8	4
Stelgidopteryx ruficollis	0	0	1
Zenaida auriculata	0	1	9
Vanellus chilensis	0	0	1
Ortalis columbiana	2	0	6
Ara severus	0	2	0
Machetornis rixosa	0	2	0
Diglossa cyanea	0	1	0
Crotophaga ani	0	0	10
Melanerpes rubricapillus	0	0	2
